gene	pwy	trn	transport	enzyme	BP_GO	Y-ome
G7497	0	0	0	0	0	1
G7544	1	1	0	1	1	1
G7396	0	1	0	0	1	1
EG11865	1	0	0	1	1	0
G7545	1	1	0	1	1	1
G7202	0	1	0	0	0	1
G7855	1	1	0	1	1	0
G0-8601	1	1	0	1	1	1
G7027	0	1	0	0	1	1
G7739	0	1	0	0	1	1
EG10175	1	1	0	1	1	0
G6970	0	1	0	0	0	1
G7736	0	1	0	0	1	1
EG10176	1	1	0	1	1	0
G6956	0	1	0	0	0	1
G6868	0	0	0	0	0	1
EG10177	0	1	1	0	1	1
G6813	0	1	0	0	0	1
EG12019	0	0	0	0	0	1
G6958	0	0	0	1	0	0
G6635	0	0	0	0	0	1
G7747	0	1	0	0	1	1
G6475	1	0	0	1	1	0
G6502	0	0	0	1	1	0
G7737	0	1	0	0	1	1
G6967	1	1	0	1	1	0
G6399	0	1	0	0	0	1
G7288	1	1	0	1	1	0
G6497	0	0	0	1	1	0
G6243	0	0	0	0	1	1
EG12113	0	0	0	0	1	1
G6891	1	1	0	1	1	0
G0-9582	0	1	0	0	1	1
EG10222	1	1	0	1	1	0
G6099	1	0	0	1	1	0
G7757	0	0	0	0	0	1
EG11564	0	1	0	0	1	1
G0-10649	0	0	0	0	0	1
G7738	0	1	0	0	1	1
EG11557	1	1	0	1	1	0
EG12881	0	0	0	0	0	0
G7634	0	1	0	1	1	1
EG11565	0	1	0	0	0	1
EG12365	0	0	0	0	1	1
EG12234	0	0	0	1	1	0
EG11559	1	1	0	1	1	0
EG12248	0	1	0	0	1	1
EG11583	1	1	0	1	1	0
EG11964	0	1	0	0	0	1
EG10589	1	1	0	1	1	0
EG11851	0	0	0	0	0	1
EG10026	0	1	0	0	1	0
EG11684	0	1	0	0	0	1
EG10491	0	1	0	0	1	0
EG11472	0	0	0	0	1	1
EG10022	1	1	0	1	1	0
G7930	0	0	0	0	0	1
EG10023	1	1	0	1	1	0
EG11289	0	1	0	1	1	0
EG11261	0	1	0	1	0	0
G7748	0	1	0	0	1	0
G7123	0	0	0	1	1	0
G7835	0	1	0	0	0	1
G6907	0	1	0	0	1	0
G6261	1	1	0	1	1	0
EG11161	0	0	0	0	1	1
EG12131	0	0	0	0	1	0
EG12318	0	1	0	1	1	0
G7693	0	0	0	0	0	1
EG11415	0	1	0	0	1	0
EG10138	0	0	0	1	1	0
EG11084	0	1	0	0	1	0
EG10299	0	1	0	1	1	0
G7877	0	1	0	0	1	0
G7608	0	1	0	0	0	1
G6908	0	1	0	0	1	0
G6731	0	0	0	1	1	0
G7484	0	0	0	0	0	1
EG12132	0	1	0	0	1	0
EG12172	0	1	0	1	1	0
G7371	0	0	0	0	0	1
EG11653	0	0	0	0	1	0
G7721	0	0	0	0	1	1
G7187	0	1	0	1	1	0
G6701	0	1	0	0	1	0
EG10306	0	1	1	0	1	0
G7013	0	0	0	0	1	1
G6909	0	1	0	0	1	0
EG11850	1	0	0	1	0	0
G6924	0	1	0	0	1	1
G7599	0	0	0	1	1	0
G6905	0	1	0	0	1	0
G6770	0	0	0	1	0	0
EG12073	0	0	0	0	1	0
G6580	1	0	0	1	0	0
G6618	0	0	0	0	0	1
EG11378	0	1	0	0	1	0
EG11692	1	1	0	1	1	0
G6472	0	0	0	0	0	1
G7164	1	0	0	1	0	0
