gene	pwy	trn	transport	enzyme	BP_GO	Y-ome
EG11528	1	1	0	1	1	0
G7884	0	0	0	0	0	1
EG10224	0	1	0	1	1	0
EG11484	0	0	0	0	1	1
EG11318	1	1	0	1	1	0
G7694	0	0	0	0	0	1
EG10043	0	1	0	1	1	0
G7543	0	1	0	0	0	1
EG11208	0	0	0	0	0	1
G7476	0	0	0	0	0	0
G6823	0	0	0	0	0	1
G7355	0	0	0	0	1	1
EG10396	0	1	1	0	1	0
G7191	0	0	0	0	0	1
EG12221	1	0	0	1	1	0
G7051	0	0	0	0	1	1
EG10276	1	1	0	1	1	0
G6953	0	1	0	0	1	1
EG11531	1	1	0	1	1	0
G6816	0	1	0	0	1	1
EG10247	1	0	0	1	1	0
G6729	0	1	0	0	0	1
EG11377	1	0	0	1	1	0
G6604	0	1	0	0	1	1
EG10139	1	0	0	1	1	0
G6408	0	1	0	0	0	1
EG11284	1	1	0	1	1	0
G6177	0	0	0	0	1	1
EG12606	1	0	0	1	1	0
G0-8887	0	0	0	0	0	1
EG10277	1	1	0	1	1	0
EG11647	1	1	0	1	1	0
EG11119	0	0	0	0	1	1
EG10273	1	1	0	1	1	0
EG10217	1	1	0	1	1	0
EG11317	1	1	0	1	1	0
EG11322	1	1	0	1	1	0
G0-10607	0	0	0	0	0	1
EG11079	1	0	0	1	1	0
G0-10468	0	1	0	0	0	1
EG11331	1	1	0	1	1	0
EG12610	0	0	0	0	0	1
EG11202	1	0	0	1	1	0
EG12264	0	0	0	0	1	0
EG11406	1	0	0	1	1	0
EG11992	0	1	0	0	0	1
EG11321	1	0	0	1	1	0
EG11726	0	1	0	0	0	1
EG10465	1	0	0	1	1	0
G7862	0	1	0	0	0	1
G6442	1	1	0	1	1	0
EG11395	0	0	0	0	0	1
EG11586	1	0	0	1	1	0
G7670	0	1	0	0	1	1
EG11573	0	1	1	0	1	0
G7537	0	0	0	0	1	0
G7135	1	0	0	1	1	0
G7464	0	1	0	0	1	0
G6238	1	0	0	1	1	0
G7329	0	1	0	0	1	1
G1	1	0	0	0	1	0
G7179	0	0	0	0	0	1
EG11587	1	0	0	1	1	0
G7043	0	0	0	0	0	0
EG11574	0	1	1	0	1	0
G6935	0	0	0	0	0	1
M007	1	0	0	1	1	0
G6795	0	0	0	0	1	0
G6246	0	0	0	1	1	0
G6702	0	1	0	0	1	1
G6234	1	1	0	1	1	0
G6563	0	0	0	0	0	1
EG11589	1	0	0	1	1	0
G6374	0	0	0	0	0	1
EG11585	1	1	0	1	1	0
G6159	0	0	0	0	0	1
EG11572	0	1	1	0	1	0
G6566	0	0	0	1	1	0
EG11590	1	0	0	1	1	0
EG11059	0	0	0	0	1	1
G7409	1	0	0	1	1	0
EG12192	1	0	0	1	1	0
EG11453	1	1	0	1	1	0
G0-10601	0	0	0	0	0	1
EG10742	1	1	0	1	1	0
G0-10461	0	0	0	0	0	0
EG10630	1	1	0	1	1	0
EG12434	0	1	0	0	0	1
EG12412	1	1	0	1	1	0
EG12227	0	0	0	0	0	0
EG11546	1	1	0	1	1	0
EG11930	0	0	0	0	0	1
EG11135	1	0	0	1	1	0
EG11683	0	0	0	0	0	1
EG10631	1	1	0	1	1	0
G7804	0	1	0	0	0	1
G6350	1	1	0	1	1	0
EG11290	0	1	0	0	0	1
EG11787	1	0	0	1	1	0
G7646	0	0	0	0	0	1
EG11335	1	0	0	1	1	0
G7523	0	0	0	0	0	1
EG11487	1	0	0	1	1	0
G7453	0	0	0	0	0	1
EG12693	0	0	0	1	1	0
G7315	0	1	0	0	1	1
EG10691	1	1	0	1	1	0
G7153	0	0	0	0	0	1
G0-9461	1	0	0	1	1	0
G7019	0	0	0	0	0	1
EG10693	1	0	0	1	1	0
G6913	0	0	0	0	1	1
EG11190	1	0	0	1	1	0
G6773	0	0	0	0	1	0
EG12312	1	0	0	1	1	0
G6642	0	1	0	0	0	1
EG11675	1	0	0	1	1	0
G6512	0	0	0	0	0	1
EG10685	0	0	1	0	1	0
G6253	0	0	0	0	0	1
G6239	1	0	0	1	1	0
G6107	0	0	0	0	1	1
EG11746	1	0	0	1	1	0
EG10922	1	0	0	1	1	0
EG10004	1	0	0	1	1	0
EG10434	0	0	0	0	1	1
EG11747	1	0	0	1	1	0
EG11511	1	0	0	1	1	0
EG10152	0	1	1	0	1	0
G0-10656	0	0	0	0	0	1
G6395	0	0	0	0	1	0
G0-10591	0	1	0	0	0	1
EG11598	1	1	0	1	1	0
G0-10444	0	0	0	0	0	0
EG11595	1	1	0	1	1	0
EG12378	0	1	0	0	0	1
EG10153	1	1	0	1	1	0
EG12196	0	0	0	0	0	1
G7496	1	0	0	1	1	0
EG11853	0	0	0	0	1	1
EG12216	1	0	0	1	1	0
G7938	0	0	0	0	0	0
EG11666	1	1	0	1	1	0
EG11605	0	1	0	0	0	1
EG11596	0	1	0	0	1	0
G7753	0	0	0	0	0	1
EG10154	1	1	0	1	1	0
G7621	0	1	0	0	0	1
EG12427	0	1	1	0	1	0
G7512	0	0	0	0	1	1
EG11829	1	1	0	1	1	0
G7442	0	1	0	0	1	1
EG11597	1	1	0	1	1	0
G7268	0	0	0	0	0	1
EG11306	1	1	0	1	1	0
G7132	0	0	0	0	1	1
EG11591	1	0	0	1	1	0
G6990	0	0	0	0	0	1
EG11796	1	0	0	1	1	0
G6901	0	1	0	0	1	1
EG10328	1	0	0	1	1	0
G6765	0	0	0	0	0	1
EG11673	1	0	0	1	1	0
G6631	0	0	0	0	0	1
EG11374	1	0	0	1	1	0
G6495	0	0	0	0	1	1
EG10682	1	0	0	1	1	0
G6228	0	1	0	0	0	1
EG10326	1	1	0	1	1	0
G6095	0	0	0	0	0	1
EG50011	1	0	0	1	1	0
EG11375	1	1	0	1	1	0
EG11219	0	0	0	0	0	1
EG10683	1	1	0	1	1	0
EG10327	1	0	0	1	1	0
EG10047	0	1	0	0	0	1
G6862	1	0	0	1	1	0
EG11493	1	1	0	1	1	0
EG11138	1	0	0	1	1	0
G0-10650	0	0	0	0	0	1
EG11105	0	1	0	1	1	0
G0-10588	0	1	0	0	0	1
EG10262	1	1	0	1	1	0
EG12870	0	1	0	0	0	1
EG10259	1	1	0	1	1	0
EG12326	0	0	0	0	1	1
EG10263	1	1	0	1	1	0
EG12122	0	0	0	0	1	1
EG10260	1	1	0	1	1	0
EG11812	0	0	0	0	0	1
EG10264	1	1	0	1	1	0
G7926	0	0	0	0	0	1
EG10261	1	1	0	1	1	0
EG11523	0	1	0	0	0	1
EG10127	0	0	1	0	1	0
G7730	0	0	0	0	0	1
EG12151	1	1	0	1	1	0
G7588	0	0	0	0	1	1
EG10128	0	0	1	0	1	0
G7491	0	0	0	0	1	1
EG13238	1	1	0	1	1	0
G7433	0	1	0	0	1	1
EG10130	1	0	0	1	1	0
G7240	0	0	0	0	0	1
G6349	1	0	0	1	1	1
G7110	0	0	0	0	0	1
EG12150	1	0	0	1	1	0
G6963	0	0	0	0	0	1
EG12059	0	1	1	0	1	0
G6896	0	1	0	0	0	1
EG11543	1	0	0	1	1	0
G6743	0	0	0	0	1	0
EG10431	1	1	0	1	1	0
G6614	0	1	0	0	0	1
EG10428	1	1	0	1	1	0
G6450	0	1	0	0	0	1
EG10188	1	1	0	1	1	0
G6189	0	0	0	0	0	1
EG12189	1	1	0	1	1	0
G0-9981	0	1	0	0	1	1
EG11688	0	0	0	0	0	1
EG10432	1	1	0	1	1	0
EG11154	0	1	0	0	0	1
EG10429	1	0	0	1	1	0
EG10407	1	1	0	1	1	0
G7018	0	1	1	0	1	0
EG11836	1	1	0	1	1	0
G0-10642	0	1	0	0	0	1
EG11485	1	0	0	1	1	0
G0-10550	0	0	0	0	0	1
EG10430	1	0	0	1	1	0
EG12703	0	1	0	0	0	1
EG10427	1	1	0	1	1	0
EG12288	0	0	0	0	1	1
G7653	0	0	0	0	1	1
EG12036	0	1	0	0	1	1
EG10370	1	0	0	1	1	0
EG12027	0	1	0	0	0	1
G7582	0	0	0	0	1	1
EG11769	0	1	0	0	0	1
EG11396	1	0	0	1	1	0
G7886	0	1	0	0	0	1
G6912	1	0	0	1	1	0
EG11509	0	0	0	0	0	1
EG12715	1	0	0	1	1	0
G7695	0	1	0	0	0	1
EG11294	1	0	0	1	1	0
G7552	0	1	0	0	1	1
EG10508	1	0	0	1	1	0
G7479	0	0	0	0	0	0
G7651	0	1	0	0	1	1
G7385	0	0	0	0	0	0
G7423	1	1	0	1	1	0
G7196	0	0	0	0	0	1
EG11369	1	1	0	1	1	0
G7062	0	1	0	0	1	1
G6237	1	0	0	1	1	0
G6959	0	0	0	0	1	1
EG11081	1	0	0	1	1	0
G6856	0	0	0	0	1	1
EG11816	1	0	0	1	1	0
G6730	0	1	0	0	1	1
G7652	0	1	0	0	1	1
G6605	0	1	0	0	1	1
EG11474	0	0	0	0	1	1
G6441	0	0	0	0	0	1
EG10017	1	1	0	1	1	0
G6182	0	0	0	0	0	1
G7508	1	0	0	1	1	0
G0-8888	0	0	0	0	0	1
G6365	1	0	0	1	1	0
EG11333	1	0	0	1	1	0
EG11145	0	0	0	0	0	1
EG12438	1	0	0	1	1	0
EG10418	1	0	0	1	1	0
EG10419	1	0	0	1	1	0
EG10121	1	1	0	1	1	0
G0-10608	0	0	0	0	0	1
EG10118	1	1	0	1	1	0
G0-10474	0	1	0	0	0	1
EG11199	0	1	0	0	1	0
EG12611	0	1	0	0	0	1
EG10122	1	0	0	1	1	0
EG12265	0	0	0	1	1	0
EG10119	1	1	0	1	1	0
EG12003	0	0	0	0	0	0
G6851	0	1	0	0	1	1
EG11759	0	0	0	0	0	1
EG10123	1	0	0	1	1	0
G7879	0	1	0	0	1	1
EG10120	1	1	0	1	1	0
EG11429	0	0	0	0	1	1
EG10117	1	1	0	1	1	0
G7673	0	0	0	0	1	1
EG11265	1	0	0	1	1	0
G7538	0	1	0	0	1	1
EG10634	1	1	0	1	1	0
G7469	0	1	0	0	0	1
EG10805	1	1	0	1	1	0
G7339	0	0	0	0	0	1
EG10810	1	0	0	1	1	0
G7181	0	1	0	0	0	1
EG10774	1	1	0	1	1	0
G7045	0	0	0	0	0	1
EG10965	1	1	0	1	1	0
G6946	0	0	0	0	0	1
EG10032	1	0	0	1	1	0
G6796	0	0	0	0	0	0
EG11819	0	0	0	1	1	0
G6703	0	0	0	0	0	1
EG10650	1	1	0	1	1	0
G6578	0	0	0	0	0	1
EG10811	1	1	0	1	1	0
G6401	0	0	0	0	1	1
EG10807	1	1	0	1	1	0
G6166	0	1	0	0	0	1
G7185	0	1	0	1	1	0
EG11279	0	1	0	0	1	0
EG10808	1	0	0	1	1	0
EG11089	0	0	0	0	0	1
EG11646	1	1	0	1	1	1
EG10809	1	0	0	1	1	0
EG10806	1	1	0	1	1	0
EG10794	1	1	0	1	1	0
G0-10603	0	0	0	0	0	1
EG10791	1	1	0	1	1	0
G0-10463	0	0	0	0	0	1
EG10420	1	1	0	1	1	0
EG12446	0	1	0	0	0	1
EG11314	1	1	0	1	1	0
EG12229	0	0	0	0	0	1
EG10798	1	1	0	1	1	0
EG11984	0	0	0	0	1	1
EG10795	1	1	0	1	1	0
EG11694	0	0	0	0	0	1
EG10792	1	1	0	1	1	0
G7829	0	0	0	0	0	1
EG10421	1	1	0	1	1	0
EG11312	0	0	0	0	1	1
EG11809	1	1	0	1	1	0
G7654	0	1	0	0	0	1
EG10799	1	1	0	1	1	0
G7527	0	0	0	0	0	0
EG10796	1	1	0	1	1	0
G7460	0	0	0	0	0	1
EG10793	1	1	0	1	1	0
G7318	0	0	0	0	1	1
EG10790	1	1	0	1	1	0
G7174	0	0	0	0	1	1
EG10797	1	1	0	1	1	0
G7026	0	1	0	0	0	1
EG10588	0	1	0	0	1	0
G6930	0	0	0	0	1	1
EG10583	1	1	0	1	1	0
G6785	0	0	0	0	1	1
EG10124	0	1	0	0	1	0
G6659	0	1	0	0	0	1
EG10591	0	1	0	0	1	0
G6513	0	1	0	0	0	1
EG10584	1	1	0	1	1	0
G6288	0	0	0	0	0	1
EG10581	1	1	0	1	1	0
G6111	0	0	0	0	1	1
G6135	0	0	1	0	1	0
EG10587	1	1	0	1	1	0
G6136	0	0	0	1	1	0
EG10712	0	0	0	0	0	1
EG10991	0	1	1	0	1	0
EG11468	0	0	1	0	1	0
EG10999	1	0	0	1	1	0
EG11000	1	0	0	1	1	0
G0-10595	0	0	0	0	0	1
G0-9605	0	0	0	0	0	1
EG10551	0	1	0	0	1	0
G0-10446	0	1	0	0	0	0
G7358	0	0	0	0	1	0
EG10209	1	0	0	1	1	0
EG12404	0	0	0	0	0	1
G0-9041	0	0	0	0	1	0
EG10206	1	1	0	1	1	0
EG12213	0	0	0	0	0	1
G6109	0	1	0	0	1	0
EG10549	1	1	0	1	1	0
EG11875	0	0	0	0	0	1
EG10373	0	0	0	0	0	1
EG10207	1	1	0	1	1	0
G7952	0	0	0	0	0	1
G0-9607	0	0	0	0	0	1
EG10208	1	0	0	1	1	0
EG11664	0	1	0	0	0	1
G0-9563	0	0	0	0	0	0
EG10205	1	0	0	1	1	0
G7763	0	1	0	0	0	1
G6110	0	1	0	0	1	0
EG11337	0	1	1	0	1	0
G7626	0	1	0	0	1	1
G0-9610	0	0	0	0	1	0
EG10091	1	1	0	1	1	0
G7514	0	0	0	0	0	1
G0-9602	0	0	0	0	1	1
G6764	0	1	1	0	1	1
G7444	0	0	0	0	0	1
G6619	0	1	0	0	1	0
EG10093	0	1	0	0	1	0
G7269	0	0	0	0	0	1
G0-9613	0	0	0	0	0	1
EG10095	1	1	0	1	1	0
G7134	0	0	0	0	1	1
G7172	0	0	0	0	1	1
EG10767	1	0	0	1	1	0
G7009	0	0	0	0	0	1
EG12867	1	0	0	1	1	0
EG10768	1	0	0	1	1	0
G6902	0	1	0	0	0	1
EG11884	0	1	0	1	1	0
EG10769	1	0	0	1	1	0
G6766	0	0	0	0	0	1
EG11158	1	1	0	1	1	0
EG11223	1	1	0	1	1	0
G6636	0	0	0	0	0	1
G7578	0	1	0	0	0	0
EG10072	0	1	1	0	1	0
G6499	0	1	0	0	0	1
G6183	0	0	0	0	1	1
EG10068	1	1	0	1	1	0
G6229	0	1	0	0	0	1
G7587	0	0	0	0	1	1
EG10065	1	1	0	1	1	0
G6100	0	0	0	0	0	1
G6382	0	0	0	1	1	1
EG11286	1	1	0	1	1	0
EG12026	1	0	0	1	1	0
EG10134	1	1	0	1	1	0
G6208	1	1	0	1	1	0
EG10069	1	1	0	1	1	0
EG10145	0	1	0	0	0	1
EG11852	0	0	0	0	1	0
EG10066	1	1	0	1	1	0
G6155	0	0	0	1	1	0
EG11628	0	1	1	0	1	0
EG11723	0	0	0	1	1	0
EG10063	1	1	0	1	1	0
G0-10653	0	1	0	0	0	1
EG10509	1	1	0	1	1	0
EG11624	0	1	1	0	1	0
G0-10589	0	0	0	0	0	1
G6886	1	0	0	1	1	0
EG10135	1	1	0	1	1	0
EG13217	0	0	0	0	0	1
EG11579	0	0	0	1	1	1
EG10070	0	1	0	0	1	0
EG12333	0	0	0	0	0	1
EG10108	0	0	0	0	1	0
EG10067	1	1	0	1	1	0
EG12138	0	1	0	0	1	1
EG11385	0	1	0	1	1	0
G6188	0	0	0	0	1	1
EG11820	0	0	0	0	0	1
G7622	1	1	0	1	1	1
EG10064	1	1	0	1	1	0
G7931	0	1	0	0	0	1
G6438	0	0	0	1	0	0
EG11626	0	1	1	0	1	0
EG11525	0	0	0	0	1	1
G7312	0	0	0	0	0	1
EG10998	1	1	0	1	1	0
G7735	0	1	0	0	0	1
G6380	0	0	0	1	0	1
EG10088	1	1	0	1	1	0
G7598	0	0	0	0	0	1
EG11870	0	1	0	0	1	1
EG10550	1	1	0	1	1	0
G7494	0	1	0	0	0	1
EG10953	1	1	0	1	1	0
EG10590	1	1	0	1	1	0
G7439	0	0	0	0	1	1
G6156	0	0	0	1	1	0
G7067	0	1	1	0	1	0
G7252	0	0	0	0	0	1
EG11758	0	0	0	1	1	0
EG10081	1	1	0	1	1	0
G7122	0	1	0	0	0	1
EG10511	1	1	0	1	1	0
EG10076	1	1	0	1	1	0
G6974	0	0	0	0	0	1
G7758	0	1	0	0	0	0
EG10073	1	1	0	1	1	0
G6898	0	1	0	0	1	1
G6487	0	0	0	0	1	1
EG10082	1	1	0	1	1	0
G6747	0	0	0	0	0	1
EG11310	0	1	0	0	0	1
EG10077	1	1	0	1	1	0
G6617	0	0	0	0	0	1
G7558	1	0	0	1	1	0
EG10074	1	1	0	1	1	0
G6453	0	1	0	0	0	1
G6381	0	0	0	1	0	1
EG11234	0	1	0	1	0	0
G6192	0	0	0	0	0	1
EG10954	1	1	0	1	1	0
EG10078	1	1	0	1	1	0
G372	0	1	0	0	0	1
G7139	0	1	0	0	1	0
EG10075	1	0	0	1	1	0
G6157	0	0	0	1	1	0
EG10385	1	1	0	0	1	0
EG11165	0	1	0	0	0	1
G6932	0	1	0	1	1	0
EG10389	0	1	1	0	1	0
EG12600	0	0	0	1	1	0
EG10386	0	1	1	0	1	0
G6878	0	0	0	1	1	0
EG10383	1	1	0	1	1	0
EG12237	1	1	0	1	1	0
EG11411	1	1	0	0	1	0
G0-10644	0	0	0	0	0	1
G6660	0	1	0	0	1	0
EG10387	1	1	0	0	1	0
G0-10559	0	0	0	0	0	1
EG11384	0	1	0	1	1	0
EG10384	1	1	0	0	1	0
EG12707	0	0	0	0	0	1
EG10572	1	1	0	1	1	0
EG11625	0	1	0	0	1	1
EG12295	0	1	0	0	0	1
EG10978	0	0	0	0	1	0
EG10388	0	1	1	0	1	0
EG12049	0	1	0	0	0	1
G6838	0	1	0	0	0	1
EG11576	1	1	0	1	1	0
G6839	0	1	0	0	1	1
EG11226	1	1	0	1	1	0
EG11890	0	1	0	0	0	0
EG10531	0	1	0	0	1	0
G7872	0	1	0	0	1	1
EG11577	1	1	0	1	1	0
G0-10437	0	1	0	0	1	0
EG11280	0	1	0	0	1	1
EG10921	0	1	0	1	1	0
EG11575	1	1	0	1	1	0
G7033	0	1	0	0	1	1
EG10540	0	1	1	0	1	0
G7593	0	1	0	1	1	0
EG10501	1	1	0	1	1	0
EG10113	0	1	0	1	1	0
EG11275	0	1	0	0	1	0
G7949	0	1	0	0	1	0
EG10494	1	1	0	1	1	0
G7729	0	0	0	0	0	1
G7521	0	0	0	0	1	1
EG10541	0	1	1	0	1	0
G6443	0	1	0	0	1	1
G7000	0	1	0	0	1	1
EG10502	1	1	0	1	1	0
G7709	0	1	0	0	1	1
EG11490	1	1	0	1	1	0
EG10499	1	1	0	1	1	0
G7190	0	1	0	0	1	1
G6158	0	1	0	0	1	1
EG10495	1	1	0	1	1	0
G6282	0	1	0	0	1	1
EG12228	0	1	0	0	1	1
EG10547	0	1	0	0	1	0
EG11599	0	1	0	0	1	1
EG10131	1	1	0	1	1	0
EG10538	0	1	1	0	1	0
G7706	0	1	0	0	1	1
G7607	0	0	0	0	1	1
EG10503	0	1	0	0	1	0
G7108	0	1	0	0	0	1
G7002	0	1	0	0	1	0
EG10500	1	1	0	1	1	0
G6178	0	0	0	0	0	1
EG11495	0	1	0	0	1	1
G7038	0	1	0	1	1	0
EG11215	0	0	0	0	1	1
EG11399	0	1	0	0	1	0
EG10496	1	1	0	1	1	0
G7703	0	1	0	0	1	1
EG11501	1	1	0	1	1	0
EG11270	0	1	0	0	1	0
G6984	0	1	1	0	1	0
G6855	0	1	0	0	1	0
EG10493	1	1	0	1	1	0
EG12173	0	1	0	0	1	1
EG11422	0	1	0	0	0	1
EG10539	0	1	1	0	1	0
EG10607	0	0	0	0	1	0
G6555	0	0	0	0	1	1
G7184	1	1	0	1	1	0
G7946	0	1	0	0	1	1
EG50009	1	1	0	1	1	0
EG10497	1	1	0	1	1	0
G6859	0	0	1	0	1	0
EG10679	0	1	0	0	1	1
G7242	1	1	0	1	1	0
EG11902	0	0	1	0	1	1
G7395	0	1	0	0	1	0
EG10001	1	0	0	1	1	0
G7745	0	1	0	0	0	1
G0-41	0	1	0	0	1	0
G7526	0	0	0	0	0	1
EG10680	0	1	0	0	1	0
EG10107	1	1	0	1	1	0
G6445	0	0	0	0	1	1
G7528	0	0	0	0	0	1
EG10449	1	0	0	1	1	0
EG11743	0	0	0	0	0	1
EG11391	0	1	0	0	1	0
EG10446	1	0	0	1	1	0
G7710	0	1	0	0	1	1
G0-9562	0	1	0	0	1	0
EG11269	0	1	0	0	1	1
G7233	0	1	1	0	1	1
G7743	0	0	0	0	1	0
EG10450	1	0	0	1	1	0
EG11636	0	1	1	0	1	0
EG10157	0	0	0	0	1	0
EG10447	1	0	0	1	1	0
G7707	0	1	0	0	1	1
G6511	0	0	0	0	1	1
EG10444	1	0	0	1	1	0
G7171	0	1	1	0	1	0
EG11592	0	0	0	0	1	1
EG10451	1	0	0	1	1	0
G6262	0	1	0	0	1	1
G7647	0	1	0	1	1	0
EG10448	1	0	0	1	1	0
EG11466	0	0	0	0	0	1
EG10129	0	1	0	1	1	0
EG10445	1	0	0	1	1	0
G7704	0	1	0	0	1	1
EG12177	0	0	0	0	1	0
EG11006	0	1	1	0	1	0
G6999	0	1	1	0	1	0
G7194	0	0	0	1	1	0
EG11274	0	1	0	0	1	0
EG12220	0	0	0	0	1	1
G7059	0	0	0	0	1	0
EG11027	1	1	0	1	1	0
G7701	0	1	0	0	0	1
EG11535	0	1	0	0	1	0
EG11024	1	1	0	1	1	0
G6885	0	0	0	0	1	1
G7683	0	1	0	0	1	1
EG10080	1	1	0	1	1	0
EG11977	0	1	0	0	1	0
EG11470	1	1	0	1	0	0
EG11028	1	1	0	1	1	0
G7867	0	0	0	0	0	1
G7532	0	0	0	0	1	1
EG11025	1	1	0	1	1	0
G7534	0	0	0	0	0	1
EG10011	0	0	0	0	1	1
EG10617	0	1	1	0	1	0
G6458	0	1	1	0	1	0
G6756	0	1	0	0	1	1
EG11029	0	1	0	0	1	0
EG11891	0	0	0	0	1	1
EG11206	0	0	0	0	1	1
EG11026	1	1	0	1	1	0
G7711	0	1	0	0	1	1
G7060	0	0	0	0	1	0
EG11041	0	1	1	0	1	0
G7251	0	0	0	0	1	1
EG11644	0	1	0	0	1	1
EG11040	1	1	0	1	1	0
G6431	0	0	1	0	1	0
EG12657	0	1	0	0	1	1
EG10707	1	0	0	1	1	0
EG11671	0	1	1	0	0	1
EG11533	0	1	0	0	1	1
EG10079	1	1	0	1	1	0
G7708	0	1	0	0	1	1
G7574	0	1	0	0	1	1
EG11271	0	0	0	0	0	0
G7186	0	0	0	0	1	1
EG11404	0	1	0	1	1	0
EG10084	0	1	1	0	1	0
G6267	0	0	0	0	1	1
G7193	0	0	0	1	1	0
EG11039	1	1	0	1	1	0
EG11536	0	0	0	0	1	1
G58	0	0	0	1	0	0
G7071	0	1	0	0	1	0
G7705	0	1	0	0	1	1
G7852	0	1	0	0	1	1
EG10187	1	1	0	1	1	0
EG12376	0	0	0	0	1	1
G7046	0	0	0	0	1	1
EG10192	1	1	0	1	1	0
EG11141	0	0	0	0	1	1
EG11534	0	1	0	0	1	0
EG10193	1	1	0	1	1	0
G7702	0	1	0	0	1	1
G7468	0	1	0	0	0	1
EG10184	0	1	0	0	1	0
EG12024	0	0	0	0	0	1
G6979	0	0	0	0	0	1
EG12142	0	1	1	0	1	0
G7929	0	0	0	0	0	1
G6633	0	1	0	0	0	1
EG10944	1	1	0	1	1	0
G7549	0	0	0	0	0	1
G6216	0	1	0	0	0	1
EG12732	0	1	1	0	1	0
G6572	0	0	0	0	0	1
EG12374	0	0	0	0	0	1
EG10945	1	1	0	1	1	0
EG11895	0	1	0	0	0	1
EG11749	0	0	0	0	1	1
EG10946	1	1	0	1	1	0
EG12392	0	0	1	0	1	0
G8202	0	0	0	0	0	1
G6455	1	0	0	1	1	0
EG11463	0	0	1	0	1	0
G7267	0	0	0	0	0	1
EG10406	0	0	1	0	1	0
G7138	0	1	1	0	1	0
G6938	0	0	0	0	1	1
EG10403	1	1	0	1	1	0
G0-10460	0	1	1	0	1	0
G6579	0	0	0	0	1	1
G6359	0	1	1	0	1	0
EG12101	0	1	0	0	1	0
G6081	0	1	0	0	0	1
EG12661	0	1	1	0	1	0
EG11471	0	0	1	0	0	0
EG12171	0	0	0	0	1	1
EG10404	1	1	0	1	1	0
G7874	0	0	0	0	1	0
EG11661	0	0	0	0	1	1
EG12662	0	1	1	0	1	0
G6464	0	1	0	0	1	0
G7838	0	0	0	0	0	1
EG10405	0	1	1	0	1	0
EG12102	0	1	1	0	1	0
G7200	0	0	0	0	0	1
EG10372	1	1	0	1	1	0
EG11167	0	0	1	0	1	0
G6900	0	1	0	0	0	1
EG12663	0	1	1	0	1	0
G7875	0	0	0	0	1	0
G6473	0	0	0	0	0	1
EG11492	0	0	0	1	0	0
EG10155	0	1	1	0	1	0
EG12868	0	1	0	0	0	1
EG10172	0	0	0	0	1	0
G7097	0	0	1	0	1	1
EG11999	0	0	0	0	0	1
EG12697	1	1	0	0	1	1
EG11019	0	0	0	0	1	0
EG11650	0	1	0	0	0	1
EG10334	0	0	0	1	1	0
G6461	0	1	1	0	1	0
G7667	0	1	0	0	0	1
G7413	0	1	0	0	1	0
G6545	0	1	1	0	1	0
G7152	0	1	0	0	0	1
EG11328	1	0	0	0	1	0
EG12240	0	1	1	0	1	0
G6843	0	0	0	0	0	1
EG12450	0	1	0	0	1	0
G6322	0	1	1	0	1	0
G6385	0	0	0	0	1	1
EG11379	0	1	0	0	1	0
EG12769	0	1	0	0	1	0
EG12842	0	1	0	0	1	1
EG10173	1	1	0	1	1	0
EG11863	0	0	0	0	1	1
EG11903	0	0	0	0	0	1
EG11380	0	1	0	0	1	0
EG12554	0	1	0	0	1	1
EG11464	0	0	0	0	0	1
EG10174	1	1	0	1	1	0
EG11710	0	0	0	0	1	0
G7604	0	0	0	0	1	1
G6849	0	1	0	0	1	0
G7635	0	1	0	0	1	0
G7015	0	1	0	0	1	1
EG11560	1	1	0	1	1	0
EG12322	0	0	0	0	1	1
G6738	0	0	0	0	0	1
EG11799	1	1	0	0	1	0
G7246	0	0	0	0	1	1
G6352	0	1	0	0	0	1
EG10318	1	1	0	0	1	0
EG12770	0	1	0	0	1	0
EG12443	0	0	0	0	1	1
EG12656	0	1	0	0	0	0
EG12556	0	1	0	0	1	1
EG11830	0	1	0	0	0	1
EG10257	1	1	0	1	1	0
EG11791	0	1	1	0	1	1
EG11155	0	1	0	0	0	1
EG12215	0	1	1	0	1	0
G7856	0	1	1	0	1	0
G7471	0	1	0	0	0	1
EG10104	1	0	1	0	1	0
EG12494	0	1	1	0	1	0
G6994	0	1	0	0	0	1
EG10101	1	0	1	0	1	0
G7632	0	1	0	0	1	0
G6641	0	0	0	0	0	1
EG10098	1	1	1	0	1	0
EG12766	0	1	0	0	0	0
G6325	0	0	0	0	0	1
G377	0	1	0	0	1	0
EG11792	0	1	1	0	1	0
EG12395	0	1	0	0	0	1
EG10105	1	1	1	0	1	0
EG12495	0	1	1	0	1	0
EG11763	0	0	0	0	0	1
EG10102	1	0	1	0	1	0
EG11709	0	0	0	0	1	1
EG11127	0	1	0	0	1	1
EG10099	1	0	1	0	1	0
G7633	0	1	0	0	1	0
G7295	0	0	0	0	0	1
EG10106	0	0	0	0	1	1
G7250	0	0	0	0	1	1
G6955	0	1	0	0	0	1
EG10103	1	0	1	0	1	0
G0-10241	0	1	0	0	1	1
G6612	0	0	0	0	0	1
EG10100	1	0	1	0	1	0
EG11908	0	0	0	0	1	1
G6191	0	0	0	0	0	1
EG11910	0	0	0	0	0	1
EG11096	0	0	0	0	1	0
EG12201	0	1	0	0	0	1
EG10647	1	0	0	1	1	0
EG10938	0	0	0	0	1	0
EG11695	0	0	0	0	0	1
EG10233	1	1	0	1	1	0
EG10766	0	0	0	0	1	0
G7861	0	1	0	0	0	1
